disorder_id,orpha_code,disorder_name,gene_symbol,gene_name,gene_type,gene_locus,association_type,association_status,source_of_validation
17626,166272,Odontochondrodysplasia,TRIP11,thyroid hormone receptor interactor 11,gene with protein product,14q32.12,Disease-causing germline mutation(s) in,Assessed,30728324[PMID]
27,576,Mucolipidosis type II,GNPTAB,N-acetylglucosamine-1-phosphate transferase subunits alpha and beta,gene with protein product,12q23.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,18425436[PMID]
26,812,Sialidosis type 1,NEU1,neuraminidase 1,gene with protein product,6p21.33,Disease-causing germline mutation(s) in,Assessed,14517945[PMID]
17628,166282,Hereditary sick sinus syndrome,SCN5A,sodium voltage-gated channel alpha subunit 5,gene with protein product,3p22.2,Disease-causing germline mutation(s) in,Assessed,
17628,166282,Hereditary sick sinus syndrome,HCN4,hyperpolarization activated cyclic nucleotide gated potassium channel 4,gene with protein product,15q24.1,Disease-causing germline mutation(s) in,Assessed,
17628,166282,Hereditary sick sinus syndrome,MYH6,myosin heavy chain 6,gene with protein product,14q11.2,Major susceptibility factor in,Assessed,
17628,166282,Hereditary sick sinus syndrome,GNB2,G protein subunit beta 2,gene with protein product,7q22.1,Disease-causing germline mutation(s) in,Assessed,28219978[PMID]
29,578,Mucolipidosis type IV,MCOLN1,mucolipin TRP cation channel 1,gene with protein product,19p13.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,21763169[PMID]_21224396[PMID]
17629,166286,Porokeratotic eccrine ostial and dermal duct nevus,GJB2,gap junction protein beta 2,gene with protein product,13q12.11,Disease-causing somatic mutation(s) in,Assessed,22592158[PMID]_25692760[PMID]_26215685[PMID]
42,461,Recessive X-linked ichthyosis,FLG,filaggrin,gene with protein product,1q21.3,Modifying germline mutation in,Assessed,29054605[PMID]
42,461,Recessive X-linked ichthyosis,STS,steroid sulfatase,gene with protein product,Xp22.31,Disease-causing germline mutation(s) in,Assessed,10583107[PMID]_10692123[PMID]
40,584,Mucopolysaccharidosis type 7,GUSB,glucuronidase beta,gene with protein product,7q11.21,Disease-causing germline mutation(s) in,Assessed,19224584[PMID]
17640,166412,Hot water reflex epilepsy,SLC1A1,solute carrier family 1 member 1,gene with protein product,9p24.2,Disease-causing germline mutation(s) in,Assessed,28324217[PMID]
45,95,Friedreich ataxia,FXN,frataxin,gene with protein product,9q21.11,Disease-causing germline mutation(s) (loss of function) in,Assessed,21776984[PMID]
49,586,Cystic fibrosis,SERPINA1,serpin family A member 1,gene with protein product,14q32.13,Modifying germline mutation in,Assessed,19738092[PMID]
49,586,Cystic fibrosis,SLC26A9,solute carrier family 26 member 9,gene with protein product,1q32.1,Modifying germline mutation in,Assessed,28756021[PMID]
49,586,Cystic fibrosis,SLC6A14,solute carrier family 6 member 14,gene with protein product,Xq23,Modifying germline mutation in,Assessed,28756021[PMID]
49,586,Cystic fibrosis,SLC9A3,solute carrier family 9 member A3,gene with protein product,5p15.33,Modifying germline mutation in,Assessed,28756021[PMID]
49,586,Cystic fibrosis,CEACAM3,CEA cell adhesion molecule 3,gene with protein product,19q13.2,Modifying germline mutation in,Assessed,20047061[PMID]
49,586,Cystic fibrosis,CEACAM6,CEA cell adhesion molecule 6,gene with protein product,19q13.2,Modifying germline mutation in,Assessed,20047061[PMID]
49,586,Cystic fibrosis,EDNRA,endothelin receptor type A,gene with protein product,4q31.22-q31.23,Modifying germline mutation in,Assessed,20028935[PMID]
49,586,Cystic fibrosis,GSTM3,glutathione S-transferase mu 3,gene with protein product,1p13.3,Modifying germline mutation in,Assessed,28289476[PMID]
49,586,Cystic fibrosis,HMOX1,heme oxygenase 1,gene with protein product,22q12.3,Modifying germline mutation in,Assessed,28289476[PMID]
49,586,Cystic fibrosis,GCLC,glutamate-cysteine ligase catalytic subunit,gene with protein product,6p12.1,Modifying germline mutation in,Assessed,16690975[PMID]
49,586,Cystic fibrosis,HFE,homeostatic iron regulator,gene with protein product,6p22.2,Modifying germline mutation in,Assessed,30291871[PMID]
49,586,Cystic fibrosis,CFTR,CF transmembrane conductance regulator,gene with protein product,7q31.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,22214395[PMID]
49,586,Cystic fibrosis,TGFB1,transforming growth factor beta 1,gene with protein product,19q13.2,Modifying germline mutation in,Assessed,18424453[PMID]
49,586,Cystic fibrosis,DCTN4,dynactin subunit 4,gene with protein product,5q33.1,Modifying germline mutation in,Assessed,22772370[PMID]
49,586,Cystic fibrosis,CLCA4,chloride channel accessory 4,gene with protein product,1p22.3,Modifying germline mutation in,Assessed,23073314[PMID]
49,586,Cystic fibrosis,STX1A,syntaxin 1A,gene with protein product,7q11.23,Modifying germline mutation in,Assessed,23572023[PMID]
49,586,Cystic fibrosis,KCNN4,potassium calcium-activated channel subfamily N member 4,gene with protein product,19q13.31,Modifying germline mutation in,Assessed,29915289[PMID]
49,586,Cystic fibrosis,MIF,macrophage migration inhibitory factor,gene with protein product,22q11.23,Modifying germline mutation in,Assessed,16179637[PMID]
49,586,Cystic fibrosis,SLC11A1,solute carrier family 11 member 1,gene with protein product,2q35,Modifying germline mutation in,Assessed,28756021[PMID]
63,550,MELAS,MT-TQ,mitochondrially encoded tRNA-Gln (CAA/G),Non-coding RNA,mitochondria,Candidate gene tested in,Not yet assessed,
63,550,MELAS,MT-CO1,mitochondrially encoded cytochrome c oxidase I,gene with protein product,mitochondria,Disease-causing germline mutation(s) in,Assessed,22832341[PMID]_19568996[PMID]
63,550,MELAS,MT-CO2,mitochondrially encoded cytochrome c oxidase II,gene with protein product,mitochondria,Disease-causing germline mutation(s) in,Assessed,18245391[PMID]
63,550,MELAS,MT-CO3,mitochondrially encoded cytochrome c oxidase III,gene with protein product,mitochondria,Candidate gene tested in,Not yet assessed,18587274[PMID]
63,550,MELAS,MT-ND1,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 1,gene with protein product,mitochondria,Disease-causing germline mutation(s) in,Assessed,15657614[PMID]
63,550,MELAS,MT-ND4,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 4,gene with protein product,mitochondria,Disease-causing germline mutation(s) in,Assessed,
63,550,MELAS,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,gene with protein product,mitochondria,Disease-causing germline mutation(s) in,Assessed,18587274[PMID]_20301411[PMID]
63,550,MELAS,MT-ND6,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6,gene with protein product,mitochondria,Disease-causing germline mutation(s) in,Assessed,11781695[PMID]
63,550,MELAS,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1,Non-coding RNA,mitochondria,Disease-causing germline mutation(s) in,Assessed,20301411[PMID]
63,550,MELAS,MT-TW,mitochondrially encoded tRNA-Trp (UGA/G),Non-coding RNA,mitochondria,Disease-causing germline mutation(s) in,Assessed,23696415[PMID]
63,550,MELAS,MT-TH,mitochondrially encoded tRNA-His (CAU/C),Non-coding RNA,mitochondria,Candidate gene tested in,Not yet assessed,14967777[PMID]_15111688[PMID]
63,550,MELAS,MT-TS1,mitochondrially encoded tRNA-Ser (UCN) 1,Non-coding RNA,mitochondria,Disease-causing germline mutation(s) in,Assessed,17894844[PMID]
63,550,MELAS,MT-TS2,mitochondrially encoded tRNA-Ser (AGU/C) 2,Non-coding RNA,mitochondria,Candidate gene tested in,Not yet assessed,16950817[PMID]
63,550,MELAS,MT-TF,mitochondrially encoded tRNA-Phe (UUU/C),Non-coding RNA,mitochondria,Disease-causing germline mutation(s) in,Assessed,9771776[PMID]
62,269,Facioscapulohumeral dystrophy,DNMT3B,DNA methyltransferase 3 beta,gene with protein product,20q11.21,Modifying germline mutation in,Assessed,27153398[PMID]
62,269,Facioscapulohumeral dystrophy,DUX4,double homeobox 4,gene with protein product,4q35.2,Candidate gene tested in,Not yet assessed,
62,269,Facioscapulohumeral dystrophy,DUX4L1,double homeobox 4 like 1 (pseudogene),Non-coding RNA,4q35.2,Candidate gene tested in,Not yet assessed,
62,269,Facioscapulohumeral dystrophy,FRG1,FSHD region gene 1,gene with protein product,4q35.2,Candidate gene tested in,Not yet assessed,23300487[PMID]_23525014[PMID]_23720823[PMID]
62,269,Facioscapulohumeral dystrophy,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1,gene with protein product,18p11.32,Disease-causing germline mutation(s) in,Assessed,23143600[PMID]_24128691[PMID]
62,269,Facioscapulohumeral dystrophy,SMCHD1,structural maintenance of chromosomes flexible hinge domain containing 1,gene with protein product,18p11.32,Modifying germline mutation in,Assessed,24075187[PMID]
61,480,Kearns-Sayre syndrome,MT-ATP8,mitochondrially encoded ATP synthase membrane subunit 8,gene with protein product,mitochondria,Candidate gene tested in,Not yet assessed,
61,480,Kearns-Sayre syndrome,RRM2B,ribonucleotide reductase regulatory TP53 inducible subunit M2B,gene with protein product,8q22.3,Disease-causing germline mutation(s) in,Assessed,21378381[PMID]
61,480,Kearns-Sayre syndrome,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1,Non-coding RNA,mitochondria,Candidate gene tested in,Not yet assessed,
64,551,MERRF,MT-TP,mitochondrially encoded tRNA-Pro (CCN),Non-coding RNA,mitochondria,Disease-causing germline mutation(s) in,Assessed,19273760[PMID]_27816331[PMID]
64,551,MERRF,MT-ND5,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 5,gene with protein product,mitochondria,Disease-causing germline mutation(s) in,Assessed,
64,551,MERRF,MT-TL1,mitochondrially encoded tRNA-Leu (UUA/G) 1,Non-coding RNA,mitochondria,Disease-causing germline mutation(s) in,Assessed,8254046[PMID]
64,551,MERRF,MT-TK,mitochondrially encoded tRNA-Lys (AAA/G),Non-coding RNA,mitochondria,Disease-causing germline mutation(s) in,Assessed,20301693[PMID]
64,551,MERRF,MT-RNR1,mitochondrially encoded 12S rRNA,Non-coding RNA,mitochondria,Candidate gene tested in,Not yet assessed,
64,551,MERRF,MT-TQ,mitochondrially encoded tRNA-Gln (CAA/G),Non-coding RNA,mitochondria,Candidate gene tested in,Not yet assessed,23179085[PMID]
64,551,MERRF,MT-TH,mitochondrially encoded tRNA-His (CAU/C),Non-coding RNA,mitochondria,Disease-causing germline mutation(s) in,Assessed,14967777[PMID]
64,551,MERRF,MT-TS1,mitochondrially encoded tRNA-Ser (UCN) 1,Non-coding RNA,mitochondria,Disease-causing germline mutation(s) in,Assessed,7669057[PMID]
64,551,MERRF,MT-TS2,mitochondrially encoded tRNA-Ser (AGU/C) 2,Non-coding RNA,mitochondria,Candidate gene tested in,Not yet assessed,16950817[PMID]
64,551,MERRF,MT-TF,mitochondrially encoded tRNA-Phe (UUU/C),Non-coding RNA,mitochondria,Disease-causing germline mutation(s) in,Assessed,15184630[PMID]
65,597,Central core disease,RYR1,ryanodine receptor 1,gene with protein product,19q13.2,Disease-causing germline mutation(s) in,Assessed,20301565[PMID]
17538,163746,Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease,SOX10,SRY-box transcription factor 10,gene with protein product,22q13.1,Disease-causing germline mutation(s) in,Assessed,22963253[PMID]_24311220[PMID]
76,684,Paramyotonia congenita of Von Eulenburg,SCN4A,sodium voltage-gated channel alpha subunit 4,gene with protein product,17q23.3,Disease-causing germline mutation(s) in,Assessed,10369308[PMID]
17549,163931,Acrodermatitis continua of Hallopeau,IL36RN,interleukin 36 receptor antagonist,gene with protein product,2q14.1,Disease-causing germline mutation(s) in,Assessed,23303454[PMID]
17549,163931,Acrodermatitis continua of Hallopeau,AP1S3,adaptor related protein complex 1 subunit sigma 3,gene with protein product,2q36.1,Disease-causing germline mutation(s) in,Assessed,24791904[PMID]
17548,163927,Pustulosis palmaris et plantaris,IL36RN,interleukin 36 receptor antagonist,gene with protein product,2q14.1,Disease-causing germline mutation(s) in,Assessed,23303454[PMID]
17548,163927,Pustulosis palmaris et plantaris,AP1S3,adaptor related protein complex 1 subunit sigma 3,gene with protein product,2q36.1,Disease-causing germline mutation(s) in,Assessed,24791904[PMID]
17551,163937,"X-linked intellectual disability, Najm type",CASK,calcium/calmodulin dependent serine protein kinase,gene with protein product,Xp11.4,Disease-causing germline mutation(s) in,Assessed,19165920[PMID]
75,614,Thomsen and Becker disease,CLCN1,chloride voltage-gated channel 1,gene with protein product,7q34,Disease-causing germline mutation(s) (loss of function) in,Assessed,20301529[PMID]
17556,163966,"X-linked dominant chondrodysplasia, Chassaing-Lacombe type",HDAC6,histone deacetylase 6,gene with protein product,Xp11.23,Disease-causing germline mutation(s) in,Assessed,20181727[PMID]
17558,163976,"X-linked intellectual disability, Van Esch type",POLA1,"DNA polymerase alpha 1, catalytic subunit",gene with protein product,Xp22.11-p21.3,Disease-causing germline mutation(s) in,Assessed,31006512[PMID]
17554,163956,"X-linked intellectual disability, Nascimento type",UBE2A,ubiquitin conjugating enzyme E2 A,gene with protein product,Xq24,Disease-causing germline mutation(s) in,Assessed,16909393[PMID]
94,324,Fabry disease,GLA,galactosidase alpha,gene with protein product,Xq22.1,Disease-causing germline mutation(s) in,Assessed,20301469[PMID]
17561,163985,Hyperekplexia-epilepsy syndrome,ARHGEF9,Cdc42 guanine nucleotide exchange factor 9,gene with protein product,Xq11.1,Disease-causing germline mutation(s) (loss of function) in,Assessed,20301437[PMID]
91,778,Rett syndrome,MECP2,methyl-CpG binding protein 2,gene with protein product,Xq28,Disease-causing germline mutation(s) in,Assessed,20301670[PMID]
102,307,Juvenile myoclonic epilepsy,CILK1,ciliogenesis associated kinase 1,gene with protein product,6p12.1,Major susceptibility factor in,Assessed,29539279[PMID]
102,307,Juvenile myoclonic epilepsy,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4,gene with protein product,2q23.3,Major susceptibility factor in,Assessed,23756480[PMID]
102,307,Juvenile myoclonic epilepsy,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1,gene with protein product,5q34,Major susceptibility factor in,Assessed,23756480[PMID]
102,307,Juvenile myoclonic epilepsy,EFHC1,EF-hand domain containing 1,gene with protein product,6p12.2,Major susceptibility factor in,Assessed,23756480[PMID]
102,307,Juvenile myoclonic epilepsy,GABRD,gamma-aminobutyric acid type A receptor subunit delta,gene with protein product,1p36.33,Major susceptibility factor in,Assessed,23756480[PMID]
102,307,Juvenile myoclonic epilepsy,KCNQ3,potassium voltage-gated channel subfamily Q member 3,gene with protein product,8q24.22,Major susceptibility factor in,Assessed,12928862[PMID]
102,307,Juvenile myoclonic epilepsy,JRK,Jrk helix-turn-helix protein,gene with protein product,8q24.3,Candidate gene tested in,Not yet assessed,11463517[PMID]
102,307,Juvenile myoclonic epilepsy,CLCN2,chloride voltage-gated channel 2,gene with protein product,3q27.1,Major susceptibility factor in,Assessed,12612585[PMID]_19191339[PMID]_23756480[PMID]
101,1941,Juvenile absence epilepsy,EFHC1,EF-hand domain containing 1,gene with protein product,6p12.2,Major susceptibility factor in,Assessed,17159113[PMID]
99,892,Von Hippel-Lindau disease,CCND1,cyclin D1,gene with protein product,11q13.3,Modifying germline mutation in,Assessed,12097293[PMID]
99,892,Von Hippel-Lindau disease,VHL,von Hippel-Lindau tumor suppressor,gene with protein product,3p25.3,Disease-causing germline mutation(s) in,Assessed,
97,731,Autosomal recessive polycystic kidney disease,DZIP1L,DAZ interacting zinc finger protein 1 like,gene with protein product,3q22.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,28530676[PMID]
97,731,Autosomal recessive polycystic kidney disease,PKHD1,PKHD1 ciliary IPT domain containing fibrocystin/polyductin,gene with protein product,6p12.3-p12.2,Disease-causing germline mutation(s) (loss of function) in,Assessed,20301501[PMID]
17568,164736,Familial advanced sleep-phase syndrome,PER3,period circadian regulator 3,gene with protein product,1p36.23,Disease-causing germline mutation(s) in,Assessed,26903630[PMID]
17568,164736,Familial advanced sleep-phase syndrome,CSNK1D,casein kinase 1 delta,gene with protein product,17q25.3,Disease-causing germline mutation(s) in,Assessed,15800623[PMID]
17568,164736,Familial advanced sleep-phase syndrome,PER2,period circadian regulator 2,gene with protein product,2q37.3,Disease-causing germline mutation(s) in,Assessed,11232563[PMID]
110,138,CHARGE syndrome,SEMA3E,semaphorin 3E,gene with protein product,7q21.11,Candidate gene tested in,Not yet assessed,15235037[PMID]
110,138,CHARGE syndrome,CHD7,chromodomain helicase DNA binding protein 7,gene with protein product,8q12.2,Disease-causing germline mutation(s) in,Assessed,20301296[PMID]
106,803,Amyotrophic lateral sclerosis,CCNF,cyclin F,gene with protein product,16p13.3,Disease-causing germline mutation(s) in,Assessed,27080313[PMID]
106,803,Amyotrophic lateral sclerosis,TAF15,TATA-box binding protein associated factor 15,gene with protein product,17q12,Candidate gene tested in,Not yet assessed,21438137[PMID]
106,803,Amyotrophic lateral sclerosis,ANXA11,annexin A11,gene with protein product,10q22.3,Disease-causing germline mutation(s) in,Assessed,28469040[PMID]
106,803,Amyotrophic lateral sclerosis,CFAP410,cilia and flagella associated protein 410,gene with protein product,21q22.3,Disease-causing germline mutation(s) in,Assessed,27455348[PMID]_26974433[PMID]
106,803,Amyotrophic lateral sclerosis,GLE1,GLE1 RNA export mediator,gene with protein product,9q34.11,Disease-causing germline mutation(s) in,Assessed,25343993[PMID]
106,803,Amyotrophic lateral sclerosis,NEK1,NIMA related kinase 1,gene with protein product,4q33,Major susceptibility factor in,Assessed,26945885[PMID]
106,803,Amyotrophic lateral sclerosis,GLT8D1,glycosyltransferase 8 domain containing 1,gene with protein product,3p21.1,Major susceptibility factor in,Assessed,30811981[PMID]
106,803,Amyotrophic lateral sclerosis,CHCHD10,coiled-coil-helix-coiled-coil-helix domain containing 10,gene with protein product,22q11.23,Disease-causing germline mutation(s) in,Assessed,25113787[PMID]_25261972[PMID]_25113788[PMID]_25261971[PMID]_25348631[PMID]_25348633[PMID]_25155093[PMID]
106,803,Amyotrophic lateral sclerosis,DAO,D-amino acid oxidase,gene with protein product,12q24.11,Disease-causing germline mutation(s) in,Assessed,24085347[PMID]_20368421[PMID]
106,803,Amyotrophic lateral sclerosis,ATXN2,ataxin 2,gene with protein product,12q24.12,Major susceptibility factor in,Assessed,24085347[PMID]
106,803,Amyotrophic lateral sclerosis,CHMP2B,charged multivesicular body protein 2B,gene with protein product,3p11.2,Disease-causing germline mutation(s) in,Assessed,20352044[PMID]_23155438[PMID]_16807408[PMID]
106,803,Amyotrophic lateral sclerosis,SOD1,superoxide dismutase 1,gene with protein product,21q22.11,Disease-causing germline mutation(s) in,Assessed,20301623[PMID]_23941283[PMID]
106,803,Amyotrophic lateral sclerosis,TREM2,triggering receptor expressed on myeloid cells 2,gene with protein product,6p21.1,Major susceptibility factor in,Assessed,24535663[PMID]
106,803,Amyotrophic lateral sclerosis,VAPB,VAMP associated protein B and C,gene with protein product,20q13.32,Disease-causing germline mutation(s) in,Assessed,20301623[PMID]_23941283[PMID]
106,803,Amyotrophic lateral sclerosis,VCP,valosin containing protein,gene with protein product,9p13.3,Disease-causing germline mutation(s) in,Assessed,24085347[PMID]
106,803,Amyotrophic lateral sclerosis,NEFH,neurofilament heavy chain,gene with protein product,22q12.2,Major susceptibility factor in,Assessed,23941283[PMID]
106,803,Amyotrophic lateral sclerosis,OPTN,optineurin,gene with protein product,10p13,Disease-causing germline mutation(s) in,Assessed,24085347[PMID]
106,803,Amyotrophic lateral sclerosis,DCTN1,dynactin subunit 1,gene with protein product,2p13.1,Candidate gene tested in,Not yet assessed,23941283[PMID]
106,803,Amyotrophic lateral sclerosis,TARDBP,TAR DNA binding protein,gene with protein product,1p36.22,Disease-causing germline mutation(s) in,Assessed,24085347[PMID]
106,803,Amyotrophic lateral sclerosis,FIG4,FIG4 phosphoinositide 5-phosphatase,gene with protein product,6q21,Disease-causing germline mutation(s) in,Assessed,24085347[PMID]
106,803,Amyotrophic lateral sclerosis,FUS,FUS RNA binding protein,gene with protein product,16p11.2,Disease-causing germline mutation(s) in,Assessed,24085347[PMID]
106,803,Amyotrophic lateral sclerosis,ANG,angiogenin,gene with protein product,14q11.2,Disease-causing germline mutation(s) in,Assessed,23941283[PMID]_20301623[PMID]
106,803,Amyotrophic lateral sclerosis,MATR3,matrin 3,gene with protein product,5q31.2,Disease-causing germline mutation(s) in,Assessed,24686783[PMID]
106,803,Amyotrophic lateral sclerosis,PRPH,peripherin,gene with protein product,12q13.12,Major susceptibility factor in,Assessed,
106,803,Amyotrophic lateral sclerosis,PON1,paraoxonase 1,gene with protein product,7q21.3,Disease-causing germline mutation(s) in,Assessed,20582942[PMID]_23941283[PMID]
106,803,Amyotrophic lateral sclerosis,PON2,paraoxonase 2,gene with protein product,7q21.3,Disease-causing germline mutation(s) in,Assessed,20582942[PMID]_23941283[PMID]
106,803,Amyotrophic lateral sclerosis,PON3,paraoxonase 3,gene with protein product,7q21.3,Disease-causing germline mutation(s) in,Assessed,20582942[PMID]_23941283[PMID]
106,803,Amyotrophic lateral sclerosis,SQSTM1,sequestosome 1,gene with protein product,5q35.3,Disease-causing germline mutation(s) in,Assessed,23303844[PMID]_24138988[PMID]_22084127[PMID]_24085347[PMID]
106,803,Amyotrophic lateral sclerosis,UBQLN2,ubiquilin 2,gene with protein product,Xp11.21,Disease-causing germline mutation(s) in,Assessed,24085347[PMID]
106,803,Amyotrophic lateral sclerosis,C9ORF72,C9orf72-SMCR8 complex subunit,gene with protein product,9p21.2,Disease-causing germline mutation(s) in,Assessed,24085347[PMID]
106,803,Amyotrophic lateral sclerosis,PFN1,profilin 1,gene with protein product,17p13.2,Disease-causing germline mutation(s) in,Assessed,22801503[PMID]_23428184[PMID]_24085347[PMID]
106,803,Amyotrophic lateral sclerosis,TBK1,TANK binding kinase 1,gene with protein product,12q14.2,Major susceptibility factor in,Assessed,25700176[PMID]
106,803,Amyotrophic lateral sclerosis,HNRNPA1,heterogeneous nuclear ribonucleoprotein A1,gene with protein product,12q13.13,Disease-causing germline mutation(s) in,Assessed,23455423[PMID]
106,803,Amyotrophic lateral sclerosis,PPARGC1A,PPARG coactivator 1 alpha,gene with protein product,4p15.2,Modifying germline mutation in,Assessed,23669350[PMID]
106,803,Amyotrophic lateral sclerosis,ERBB4,erb-b2 receptor tyrosine kinase 4,gene with protein product,2q34,Disease-causing germline mutation(s) in,Assessed,24119685[PMID]
106,803,Amyotrophic lateral sclerosis,UNC13A,unc-13 homolog A,gene with protein product,19p13.11,Major susceptibility factor in,Assessed,24931836[PMID]_19734901[PMID]
104,100,Ataxia-telangiectasia,ATM,ATM serine/threonine kinase,gene with protein product,11q22.3,Disease-causing germline mutation(s) in,Assessed,20301790[PMID]
118,399,Huntington disease,HTT,huntingtin,gene with protein product,4p16.3,Disease-causing germline mutation(s) (gain of function) in,Assessed,20301482[PMID]_21566141[PMID]
118,399,Huntington disease,SLC2A3,solute carrier family 2 member 3,gene with protein product,12p13.31,Modifying germline mutation in,Assessed,24452335[PMID]
117,501,Lafora disease,EPM2A,"EPM2A glucan phosphatase, laforin",gene with protein product,6q24.3,Disease-causing germline mutation(s) (loss of function) in,Assessed,20301563[PMID]_22047982[PMID]_22669944[PMID]
